COUNTRY,REGION,E-WASTE GENERATED (MILLION KG),E-WASTE GENERATED (KG/CAPITA),E-WASTE DOCUMENTED AS FORMALLY COLLECTED AND RECYCLED (MILLION KG),"REFERENCE FOR
E-WASTE COLLECTION AND RECYCLING DATA","NATIONAL E-WASTE
LEGISLATION/ POLICY OR REGULATION
IN PLACE",EPRFOR E-WASTE,COLLECTION TARGET IN PLACE,RECYCLING TARGETS IN PLACE
Afghanistan,Asia,32,"0,8",N/A,,No,No,No,No
Albania,Europe,24,"8,3",N/A,,Yes,Yes,No,No
Algeria,Africa,333,"7,5",N/A,,No,No,No,No
Angola,Africa,148,"4,2",N/A,,No,No,No,No
Antigua and Barbuda,Americas,1,"13,3",N/A,,No,No,No,No
Argentina,Americas,517,"11,4","14,4","Communication with Ministry of Environment and Sustainable Development  in the context of this report: M. Wagner, C.P. Balde,
V. Luda, I. C Nnorom, R. Kuehr, G. lattoni. Regional E-waste Monitor for Latin America: Results for  the 13 countries participating in project UNIDO-GEF 5554, Bonn (Germany), 2022. https://www. scycle.info/regional-e-waste-monitor-latin-america-2021/",Yes,Yes,No,No
Armenia,Asia,22,"7,8",N/A*,"Questionnaires conducted by UNSD, OECD and UNECE in 2014/2015. Data point is added to the global totals, but  data is not published.",No,No,No,No
Aruba,Americas,2,"20,7",N/A,,No,No,No,No
Australia,Oceania,583,"22,4","292,4","OECD Statistics, 2022. Waste from electrical and electronic equipment (WEEE -  e-waste). https://stats.oecd.org/lndex.aspx?DataSetCode=EWASTE",Yes,Yes,Yes,Yes
Austria,Europe,175,"19,6","133,2","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by  waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/databrowser/view/env_waseleeos/
default/table?lang=en",Yes,Yes,Yes,Yes
Azerbaijan,Asia,90,"8,7","0,01","Communication  with JSC ""Tamiz Schahar"" in the context of this report: C.P. Balde, G. lattoni, V. Luda, I.C Nnorom, 0. Pecheniuk,
R. Kuehr, Regional E-waste Monitor for the CIS + Georgia -  2021, 2021, United Nations University (UNU) / United Nations Institute for Training and Research (UNITAR) -  co-hosting the SCYCLE Programme, Bonn, Germany.
https://ewastemonitor.info/wp-content/uploads/2021/11/
REM_202l_CISGEORGIA_WEB_final_nov_ll_spreads.pdf",No,No,No,No
Bahamas,Americas,7,"17,7",N/A,,No,No,No,No
Bahrain,Asia,26,"17,8",N/A,,Yes,No,No,No
Bangladesh,Asia,367,"2,2",N/A,,Yes,Yes,Yes,No
Barbados,Americas,4,"14,7",N/A,,No,No,No,No
Belarus,Europe,111,"11,6",31,"Communication with Ministry of Housing and Utilities in the context of this report C.P. Balde, G. lattoni, V. Luda, I.C Nnorom,
0. Pecheniuk, R. Kuehr, Regional E-waste Monitor for the CIS + Georgia -  2021, 2021, United Nations University (UNU) / United Nations Institute for Training and Research (UNITAR) -  co-hosting the SCYCLE Programme, Bonn, Germany. https://ewastemonitor. info/wp-content/uploads/2021/ll/REM_202l_CISGEORGIA_WEB_ final_nov _ll_spreads.pdf",Yes,Yes,No,No
Belgium,Europe,252,"21,7","162,8","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/data- browser /view/env_waseleeos/defauIt/ table?lang=en",Yes,Yes,Yes,Yes
Belize,Americas,3,"7,1",N/A,,No,No,No,No
Benin,Africa,14,"1,1",N/A,,No,No,No,No
Bhutan,Asia,5,"6,7","0,5","UNSD -   Environment Statistics. Retrieved August 1, 2023, from https://unstats.un.org/unsd/envstats/qindicators",No,No,No,No
Bolivia (Plurinational State of),Americas,89,"7,3","2,4","Communication with  Ministry of Environment and Water of the Plurinational State of Bolivia in the context of this report:
M. Wagner, C.P. Balde, V. Luda, I. C Nnorom, R. Kuehr, G. lattoni. Regional E-waste Monitor for Latin America: Results for the  13 countries participating in project UNIDO-GEF 5554, Bonn
(Germany), 2022. https://www.scycle.info/regional-e-waste-moni- tor-latin-america-2021/",Yes,Yes,No,No
Bosnia and Herzegovina,Europe,33,"10,1","4,9","Communication with BHAS 2022/Zeos/Kim/Tec 2022 in the context of this report: G. lattoni, I.C Nnorom, D. Toppenberg,
R. Kuehr, C.P. Balde. Regional E-waste Monitor for the Western Balkans -  2023. International Telecommunication Union
(ITU), United Nations Environment Programme (UNEP) and United Nations Institute for Training and Research (UNITAR)
-  SCYCLE Programme. https://www.scycle.info/wp-content/ uploads/2023/12/Regional-E-waste-Monitor-Balkan-2023.pdf",Yes,Yes,Yes,Yes
Botswana,Africa,23,"8,7",N/A,,No,No,No,No
Brazil,Americas,2443,"11,4",79,"P. Dias, J. Palomero, M.Pilotto Cenci, T. Scarazzato, A. Moura Bernardes. Electronic waste in Brazil: Generation, collection, recy- cling and the covid pandemic,
Cleaner Waste Systems. Volume 3, 2022, ISSN 2772-9125, https:// doi.org/10.1016/j.clwas.2022.100022. (https://www.sciencedirect. com/science/article/pii/S2772912522000227)",Yes,Yes,Yes,No
Brunei Darussalam,Asia,9,"19,9",N/A,,No,No,No,No
Bulgaria,Europe,90,"13,2","75,5","Eurostat, 2022. Waste electrical and electronic equipment (WEEE) by waste management operations (env_waselee), Metadata in Euro SDMX Metadata Structure (ESMS). Eurostat, the statistical office of the European Union. https://ec.europa.eu/eurostat/databrowser/view/env_waseleeos/ default/table?lang=en",Yes,Yes,Yes,Yes
Burkina Faso,Africa,17,"0,8",N/A,,No,No,No,No
Burundi,Africa,8,"0,6",N/A,,No,No,No,No
Cambodia,Asia,25,"1,5",N/A,,Yes,No,No,No
Cameroon,Africa,33,"1,2","0,1","Communication with Solidarite Technologique in the context of this report: Forti V., Balde C.P., Kuehr R., Bel G. The Global E-waste Monitor 2020: Quantities, flows and the circular economy potential. United Nations University (UNU)/United
Nations Institute for Training and Research (UNITAR) -  co-hosted SCYCLE Programme, International Telecommunication Union  (ITU) & International Solid Waste Association (ISWA), Bonn/ Geneva/Rotterdam. https://www.scycle.info/global-e-waste-mo- nitor-2020/",Yes,Yes,No,No
Canada,Americas,774,"20,2",98,"OECD Statistics, 2022. Waste from electrical and electronic equipment (WEEE -  e-waste). https://stats.oecd.org/lndex.aspx?DataSetCode=EWASTE",Yes,No,No,No
Cape Verde,Africa,3,"5,3",N/A,,No,No,No,No
Central African Republic,Africa,3,"0,6",N/A,,No,No,No,No
Chad,Africa,12,"0,7",N/A,,No,No,No,No
Chile,Americas,230,"11,7","7,3","Communication with Ministry of Environment of Chile in the context of this report M. Wagner, C.P. Balde, V. Luda, I. C Nnorom,
R. Kuehr, G. lattoni. Regional E-waste Monitor for Latin America: Results for the 13 countries participating in project UNIDO-GEF 5554, Bonn (Germany), 2022. https://www.scycle.info/regio- nal-e-waste-monitor-latin-america-2021/",Yes,Yes,No,No
China,Asia,12066,"8,5","1951,7","Communication with Ministry of Environment in the context of this report: Forti V., Balde C.P., Kuehr R., Bel G. The Global E-waste Monitor 2020: Quantities, flows and the circular economy potential. United Nations University (UNU)/United Nations Institute for Training and Research (UNITAR) -  co-hosted SCYCLE Programme, International Telecommunication Union (ITU) & Inter-
national Solid Waste Association (ISWA), Bonn/Geneva/Rotterdam.
https://www.scycle.info/global-e-waste-monitor-2020/",Yes,Yes,No,Yes
"China, Hong Kong Special Adminis- trative Region",Asia,161,"21,6","71,6","Communication  with Hong Kong  Environmental Protection Department in the context of this report: Forti V., Balde C.P., Kuehr R., Bel G. The Global E-waste Monitor 2020: Quantities, flows and the circular economy potential. United Nations University (UNU)/ United Nations Institute for Training and Research (UNITAR) -
co-hosted SCYCLE Programme, International Telecommunication Union (ITU) & International Solid Waste Association (ISWA), Bonn/ Geneva/Rotterdam.
https://www.scycle.info/global-e-waste-monitor-2020/",No,No,No,No
"China, Macao Special Adminis- trative Region",Asia,13,"18,5",N/A,,No,No,No,No
Colombia,Americas,388,"7,5","4,9","OECD Statistics, 2022. Waste from electrical and electronic equipment (WEEE -  e-waste). https://stats.oecd.org/lndex.aspx?DataSetCode=EWASTE",Yes,Yes,No,No
Comoros,Africa,1,"1,5",N/A,,No,No,No,No
Congo,Africa,16,"2,7",N/A,,No,No,No,No
Costa Rica,Americas,66,"12,7","5,8","OECD Statistics, 2022. Waste from electrical and electronic equipment (WEEE -  e-waste). https://stats.oecd.org/lndex.aspx?DataSetCode=EWASTE",Yes,Yes,No,No
